CINUM,ASSETATTRID,ALNVALUE
F5VIP-10.19.38.180: 443,STANDBYSELFIP,10.19.38.181
F5VIP-10.19.38.180: 443,STANDBYSELFIP,10.19.38.181
F5VIP-10.19.38.180: 443,STANDBYSELFIP,10.19.38.181
F5VIP-10.19.38.180: 443,STANDBYSELFIP,10.19.38.181
F5VIP-10.19.38.180: 443,STANDBYSELFIP,10.19.38.181
F5VIP-10.19.38.180: 80,FLOATINGSELFIP,10.19.38.182
F5VIP-10.19.38.180: 80,CMDBPORT,80
F5VIP-10.19.38.180: 80,ACTIVESELFIP,10.19.38.183
F5VIP-10.19.38.180: 80,STANDBYSELFIP,10.19.38.181
F5VIP-10.19.38.71: 8080,FLOATINGSELFIP,10.19.38.74
F5VIP-10.19.38.71: 8080,CMDBPORT,8080
F5VIP-10.19.38.71: 8080,ACTIVESELFIP,10.19.38.73
F5VIP-10.19.38.71: 8080,STANDBYSELFIP,10.19.38.72
F5VIP-10.19.39.114: 443,FLOATINGSELFIP,10.19.39.119
F5VIP-10.19.39.114: 443,CMDBPORT,443
F5VIP-10.19.39.114: 443,ACTIVESELFIP,10.19.39.117
F5VIP-10.19.39.114: 443,STANDBYSELFIP,10.19.39.118
F5VIP-10.19.39.22: 3389,FLOATINGSELFIP,10.19.39.28
F5VIP-10.19.39.22: 3389,CMDBPORT,3389
F5VIP-10.19.39.22: 3389,ACTIVESELFIP,10.19.39.26
F5VIP-10.19.39.22: 3389,STANDBYSELFIP,10.19.39.27
F5VIP-10.19.39.22: 443,FLOATINGSELFIP,10.19.39.28
F5VIP-10.19.39.22: 443,CMDBPORT,443
F5VIP-10.19.39.22: 443,ACTIVESELFIP,10.19.39.26
F5VIP-10.19.39.22: 443,STANDBYSELFIP,10.19.39.27
F5VIP-10.19.40.135: 443,FLOATINGSELFIP,10.19.40.134
F5VIP-10.19.40.135: 443,CMDBPORT,443
F5VIP-10.19.40.135: 443,ACTIVESELFIP,10.19.40.132
F5VIP-10.19.40.135: 443,STANDBYSELFIP,10.19.40.133
F5VIP-10.19.40.166: 443,FLOATINGSELFIP,10.19.40.169
F5VIP-10.19.40.166: 443,CMDBPORT,443
F5VIP-10.19.40.166: 443,ACTIVESELFIP,10.19.40.167
F5VIP-10.19.40.166: 443,STANDBYSELFIP,10.19.40.168
F5VIP-10.19.40.166: 5672,FLOATINGSELFIP,10.19.40.169
F5VIP-10.19.40.166: 5672,CMDBPORT,5672
F5VIP-10.19.40.166: 5672,ACTIVESELFIP,10.19.40.167
F5VIP-10.19.40.166: 5672,STANDBYSELFIP,10.19.40.168
F5VIP-10.19.44.103: 443,FLOATINGSELFIP,10.19.44.104
F5VIP-10.19.44.103: 443,CMDBPORT,443
F5VIP-10.19.44.103: 443,ACTIVESELFIP,10.19.44.105
F5VIP-10.19.44.103: 443,STANDBYSELFIP,10.19.44.106
F5VIP-10.19.46.67: 80,FLOATINGSELFIP,10.19.46.73
F5VIP-10.19.46.67: 80,CMDBPORT,80
F5VIP-10.19.46.67: 80,ACTIVESELFIP,10.19.46.74
F5VIP-10.19.46.67: 80,STANDBYSELFIP,10.19.46.72
F5VIP-10.19.47.116: 443,FLOATINGSELFIP,10.19.47.119
F5VIP-10.19.47.116: 443,CMDBPORT,443
F5VIP-10.19.47.116: 443,ACTIVESELFIP,10.19.47.117
F5VIP-10.19.47.116: 443,STANDBYSELFIP,10.19.47.118
F5VIP-10.19.47.68: 443,FLOATINGSELFIP,10.19.47.72
F5VIP-10.19.47.68: 443,CMDBPORT,443
F5VIP-10.19.47.68: 443,ACTIVESELFIP,10.19.47.70
F5VIP-10.19.47.68: 443,STANDBYSELFIP,10.19.47.71
F5VIP-10.19.47.85: 443,FLOATINGSELFIP,10.19.47.88
F5VIP-10.19.47.85: 443,CMDBPORT,443
F5VIP-10.19.47.85: 443,ACTIVESELFIP,10.19.47.86
F5VIP-10.19.47.85: 443,STANDBYSELFIP,10.19.47.87
F5VIP-10.19.5.17: 100,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 100,CMDBPORT,100
F5VIP-10.19.5.17: 100,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 100,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 10030,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 10030,CMDBPORT,10030
F5VIP-10.19.5.17: 10030,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 10030,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 10040,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 10040,CMDBPORT,10040
F5VIP-10.19.5.17: 10040,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 10040,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 10070,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 10070,CMDBPORT,10070
F5VIP-10.19.5.17: 10070,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 10070,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 1050,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 1050,CMDBPORT,1050
F5VIP-10.19.5.17: 1050,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 1050,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 10500,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 10500,CMDBPORT,10500
F5VIP-10.19.5.17: 10500,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 10500,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 1060,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 1060,CMDBPORT,1060
F5VIP-10.19.5.17: 1060,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 1060,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 10600,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 10600,CMDBPORT,10600
F5VIP-10.19.5.17: 10600,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 10600,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 10700,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 10700,CMDBPORT,10700
F5VIP-10.19.5.17: 10700,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 10700,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 1090,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 1090,CMDBPORT,1090
F5VIP-10.19.5.17: 1090,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 1090,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 4040,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 4040,CMDBPORT,4040
F5VIP-10.19.5.17: 4040,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 4040,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 443,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 443,CMDBPORT,443
F5VIP-10.19.5.17: 443,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 443,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 6060,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 6060,CMDBPORT,6060
F5VIP-10.19.5.17: 6060,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 6060,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 70,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 70,CMDBPORT,70
F5VIP-10.19.5.17: 70,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 70,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 80,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 80,CMDBPORT,80
F5VIP-10.19.5.17: 80,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 80,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 8443,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 8443,CMDBPORT,8443
F5VIP-10.19.5.17: 8443,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 8443,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 8444,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 8444,CMDBPORT,8444
F5VIP-10.19.5.17: 8444,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 8444,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 8445,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 8445,CMDBPORT,8445
F5VIP-10.19.5.17: 8445,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 8445,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.5.17: 90,FLOATINGSELFIP,10.19.5.254
F5VIP-10.19.5.17: 90,CMDBPORT,90
F5VIP-10.19.5.17: 90,ACTIVESELFIP,10.19.5.253
F5VIP-10.19.5.17: 90,STANDBYSELFIP,10.19.5.252
F5VIP-10.19.50.167: 6080,FLOATINGSELFIP,10.19.50.170
F5VIP-10.19.50.167: 6080,CMDBPORT,6080
F5VIP-10.19.50.167: 6080,ACTIVESELFIP,10.19.50.169
F5VIP-10.19.50.167: 6080,STANDBYSELFIP,10.19.50.168
F5VIP-10.19.50.167: 6443,FLOATINGSELFIP,10.19.50.170
F5VIP-10.19.50.167: 6443,CMDBPORT,6443
F5VIP-10.19.50.167: 6443,ACTIVESELFIP,10.19.50.169
F5VIP-10.19.50.167: 6443,STANDBYSELFIP,10.19.50.168
F5VIP-10.19.50.167: 7080,FLOATINGSELFIP,10.19.50.170
F5VIP-10.19.50.167: 7080,CMDBPORT,7080
F5VIP-10.19.50.167: 7080,ACTIVESELFIP,10.19.50.169
F5VIP-10.19.50.167: 7080,STANDBYSELFIP,10.19.50.168
F5VIP-10.19.50.167: 7443,FLOATINGSELFIP,10.19.50.170
F5VIP-10.19.50.167: 7443,CMDBPORT,7443
F5VIP-10.19.50.167: 7443,ACTIVESELFIP,10.19.50.169
F5VIP-10.19.50.167: 7443,STANDBYSELFIP,10.19.50.168
F5VIP-10.19.57.136: 443,FLOATINGSELFIP,10.19.57.139
F5VIP-10.19.57.136: 443,CMDBPORT,443
F5VIP-10.19.57.136: 443,ACTIVESELFIP,10.19.57.137
F5VIP-10.19.57.136: 443,STANDBYSELFIP,10.19.57.138
F5VIP-10.19.57.180: 443,FLOATINGSELFIP,10.19.57.183
F5VIP-10.19.57.180: 443,CMDBPORT,443
F5VIP-10.19.57.180: 443,ACTIVESELFIP,10.19.57.181
F5VIP-10.19.57.180: 443,STANDBYSELFIP,10.19.57.182
F5VIP-10.19.57.196: 443,FLOATINGSELFIP,10.19.57.197
F5VIP-10.19.57.196: 443,CMDBPORT,443
F5VIP-10.19.57.196: 443,ACTIVESELFIP,10.19.57.199
F5VIP-10.19.57.196: 443,STANDBYSELFIP,10.19.57.198
F5VIP-10.19.57.196: 8443,FLOATINGSELFIP,10.19.57.197
F5VIP-10.19.57.196: 8443,CMDBPORT,8443
F5VIP-10.19.57.196: 8443,ACTIVESELFIP,10.19.57.199
F5VIP-10.19.57.196: 8443,STANDBYSELFIP,10.19.57.198
F5VIP-10.19.57.40: 443,FLOATINGSELFIP,10.19.57.39
F5VIP-10.19.57.40: 443,CMDBPORT,443
F5VIP-10.19.57.40: 443,ACTIVESELFIP,10.19.57.37
F5VIP-10.19.57.40: 443,STANDBYSELFIP,10.19.57.38
F5VIP-10.19.57.40: 8443,FLOATINGSELFIP,10.19.57.39
F5VIP-10.19.57.40: 8443,CMDBPORT,8443
F5VIP-10.19.57.40: 8443,ACTIVESELFIP,10.19.57.37
F5VIP-10.19.57.40: 8443,STANDBYSELFIP,10.19.57.38
F5VIP-10.19.63.143: 443,FLOATINGSELFIP,10.19.63.147
F5VIP-10.19.63.143: 443,CMDBPORT,443
F5VIP-10.19.63.143: 443,ACTIVESELFIP,10.19.63.145
F5VIP-10.19.63.143: 443,STANDBYSELFIP,10.19.63.146
F5VIP-10.19.63.144: 443,FLOATINGSELFIP,10.19.63.147
F5VIP-10.19.63.144: 443,CMDBPORT,443
F5VIP-10.19.63.144: 443,ACTIVESELFIP,10.19.63.145
F5VIP-10.19.63.144: 443,STANDBYSELFIP,10.19.63.146
F5VIP-10.19.63.144: 8443,FLOATINGSELFIP,10.19.63.147
F5VIP-10.19.63.144: 8443,CMDBPORT,8443
F5VIP-10.19.63.144: 8443,ACTIVESELFIP,10.19.63.145
F5VIP-10.19.63.144: 8443,STANDBYSELFIP,10.19.63.146
F5VIP-10.19.63.21: 443,FLOATINGSELFIP,10.19.63.25
F5VIP-10.19.63.21: 443,CMDBPORT,443
F5VIP-10.19.63.21: 443,ACTIVESELFIP,10.19.63.23
F5VIP-10.19.63.21: 443,STANDBYSELFIP,10.19.63.24
F5VIP-10.19.63.21: 5443,FLOATINGSELFIP,10.19.63.25
F5VIP-10.19.63.21: 5443,CMDBPORT,5443
F5VIP-10.19.63.21: 5443,ACTIVESELFIP,10.19.63.23
F5VIP-10.19.63.21: 5443,STANDBYSELFIP,10.19.63.24
F5VIP-10.19.63.21: 6443,FLOATINGSELFIP,10.19.63.25
F5VIP-10.19.63.21: 6443,CMDBPORT,6443
F5VIP-10.19.63.21: 6443,ACTIVESELFIP,10.19.63.23
F5VIP-10.19.63.21: 6443,STANDBYSELFIP,10.19.63.24
F5VIP-10.19.63.21: 7443,FLOATINGSELFIP,10.19.63.25
F5VIP-10.19.63.21: 7443,CMDBPORT,7443
F5VIP-10.19.63.21: 7443,ACTIVESELFIP,10.19.63.23
F5VIP-10.19.63.21: 7443,STANDBYSELFIP,10.19.63.24
F5VIP-10.19.63.21: 80,FLOATINGSELFIP,10.19.63.25
F5VIP-10.19.63.21: 80,CMDBPORT,80
F5VIP-10.19.63.21: 80,ACTIVESELFIP,10.19.63.23
F5VIP-10.19.63.21: 80,STANDBYSELFIP,10.19.63.24
F5VIP-10.19.63.21: 8443,FLOATINGSELFIP,10.19.63.25
F5VIP-10.19.63.21: 8443,CMDBPORT,8443
F5VIP-10.19.63.21: 8443,ACTIVESELFIP,10.19.63.23
F5VIP-10.19.63.21: 8443,STANDBYSELFIP,10.19.63.24
F5VIP-10.19.63.21: 9443,FLOATINGSELFIP,10.19.63.25
F5VIP-10.19.63.21: 9443,CMDBPORT,9443
F5VIP-10.19.63.21: 9443,ACTIVESELFIP,10.19.63.23
F5VIP-10.19.63.21: 9443,STANDBYSELFIP,10.19.63.24
F5VIP-10.19.63.84: 443,FLOATINGSELFIP,10.19.63.86
F5VIP-10.19.63.84: 443,CMDBPORT,443
F5VIP-10.19.63.84: 443,ACTIVESELFIP,10.19.63.87
F5VIP-10.19.63.84: 443,STANDBYSELFIP,10.19.63.85
F5VIP-10.19.66.100: 443,FLOATINGSELFIP,10.19.66.108
F5VIP-10.19.66.100: 443,CMDBPORT,443
F5VIP-10.19.66.100: 443,ACTIVESELFIP,10.19.66.109
F5VIP-10.19.66.100: 443,STANDBYSELFIP,10.19.66.110
F5VIP-10.19.66.116: 6000,FLOATINGSELFIP,10.19.66.125
F5VIP-10.19.66.116: 6000,CMDBPORT,6000
F5VIP-10.19.66.116: 6000,ACTIVESELFIP,10.19.66.124
F5VIP-10.19.66.116: 6000,STANDBYSELFIP,10.19.66.126
F5VIP-10.19.66.148: 443,FLOATINGSELFIP,10.19.66.156
F5VIP-10.19.66.148: 443,CMDBPORT,443
F5VIP-10.19.66.148: 443,ACTIVESELFIP,10.19.66.158
F5VIP-10.19.66.148: 443,STANDBYSELFIP,10.19.66.157
F5VIP-10.19.66.148: 6000,FLOATINGSELFIP,10.19.66.156
F5VIP-10.19.66.148: 6000,CMDBPORT,6000
F5VIP-10.19.66.148: 6000,ACTIVESELFIP,10.19.66.158
F5VIP-10.19.66.148: 6000,STANDBYSELFIP,10.19.66.157
F5VIP-10.19.66.164: 443,FLOATINGSELFIP,10.19.66.172
F5VIP-10.19.66.164: 443,CMDBPORT,443
F5VIP-10.19.66.164: 443,ACTIVESELFIP,10.19.66.174
F5VIP-10.19.66.164: 443,STANDBYSELFIP,10.19.66.173
F5VIP-10.19.66.164: 6000,FLOATINGSELFIP,10.19.66.172
F5VIP-10.19.66.164: 6000,CMDBPORT,6000
F5VIP-10.19.66.164: 6000,ACTIVESELFIP,10.19.66.174
F5VIP-10.19.66.164: 6000,STANDBYSELFIP,10.19.66.173
F5VIP-10.19.66.36: 443,FLOATINGSELFIP,10.19.66.60
F5VIP-10.19.66.36: 443,CMDBPORT,443
F5VIP-10.19.66.36: 443,ACTIVESELFIP,10.19.66.61
F5VIP-10.19.66.36: 443,STANDBYSELFIP,10.19.66.62
F5VIP-10.19.66.4: 443,FLOATINGSELFIP,10.19.66.29
F5VIP-10.19.66.4: 443,CMDBPORT,443
F5VIP-10.19.66.4: 443,ACTIVESELFIP,10.19.66.28
F5VIP-10.19.66.4: 443,STANDBYSELFIP,10.19.66.30
F5VIP-10.19.67.100: 443,FLOATINGSELFIP,10.19.67.108
F5VIP-10.19.67.100: 443,CMDBPORT,443
F5VIP-10.19.67.100: 443,ACTIVESELFIP,10.19.67.110
F5VIP-10.19.67.100: 443,STANDBYSELFIP,10.19.67.109
F5VIP-10.19.67.100: 6000,FLOATINGSELFIP,10.19.67.108
F5VIP-10.19.67.100: 6000,CMDBPORT,6000
F5VIP-10.19.67.100: 6000,ACTIVESELFIP,10.19.67.110
F5VIP-10.19.67.100: 6000,STANDBYSELFIP,10.19.67.109
F5VIP-10.19.67.135: 443,FLOATINGSELFIP,10.19.67.138
F5VIP-10.19.67.135: 443,CMDBPORT,443
F5VIP-10.19.67.135: 443,ACTIVESELFIP,10.19.67.137
F5VIP-10.19.67.135: 443,STANDBYSELFIP,10.19.67.136
F5VIP-10.19.67.135: 8443,FLOATINGSELFIP,10.19.67.138
F5VIP-10.19.67.135: 8443,CMDBPORT,8443
F5VIP-10.19.67.135: 8443,ACTIVESELFIP,10.19.67.137
F5VIP-10.19.67.135: 8443,STANDBYSELFIP,10.19.67.136
F5VIP-10.19.67.135: 8444,FLOATINGSELFIP,10.19.67.138
F5VIP-10.19.67.135: 8444,CMDBPORT,8444
F5VIP-10.19.67.135: 8444,ACTIVESELFIP,10.19.67.137
F5VIP-10.19.67.135: 8444,STANDBYSELFIP,10.19.67.136
F5VIP-10.19.67.20: 443,FLOATINGSELFIP,10.19.67.28
F5VIP-10.19.67.20: 443,CMDBPORT,443
F5VIP-10.19.67.20: 443,ACTIVESELFIP,10.19.67.30
F5VIP-10.19.67.20: 443,STANDBYSELFIP,10.19.67.29
F5VIP-10.19.67.201: 3000,FLOATINGSELFIP,10.19.67.204
F5VIP-10.19.67.201: 3000,CMDBPORT,3000
F5VIP-10.19.67.201: 3000,ACTIVESELFIP,10.19.67.203
F5VIP-10.19.67.201: 3000,STANDBYSELFIP,10.19.67.202
F5VIP-10.19.67.201: 443,FLOATINGSELFIP,10.19.67.204
F5VIP-10.19.67.201: 443,CMDBPORT,443
F5VIP-10.19.67.201: 443,ACTIVESELFIP,10.19.67.203
F5VIP-10.19.67.201: 443,STANDBYSELFIP,10.19.67.202
F5VIP-10.19.67.201: 9301,FLOATINGSELFIP,10.19.67.204
F5VIP-10.19.67.201: 9301,CMDBPORT,9301
F5VIP-10.19.67.201: 9301,ACTIVESELFIP,10.19.67.203
F5VIP-10.19.67.201: 9301,STANDBYSELFIP,10.19.67.202
F5VIP-10.19.67.201: 9302,FLOATINGSELFIP,10.19.67.204
F5VIP-10.19.67.201: 9302,CMDBPORT,9302
F5VIP-10.19.67.201: 9302,ACTIVESELFIP,10.19.67.203
F5VIP-10.19.67.201: 9302,STANDBYSELFIP,10.19.67.202
F5VIP-10.19.67.3: 443,FLOATINGSELFIP,10.19.67.12
F5VIP-10.19.67.3: 443,CMDBPORT,443
F5VIP-10.19.67.3: 443,ACTIVESELFIP,10.19.67.14
F5VIP-10.19.67.3: 443,STANDBYSELFIP,10.19.67.13
F5VIP-10.19.67.36: 443,FLOATINGSELFIP,10.19.67.44
F5VIP-10.19.67.36: 443,CMDBPORT,443
F5VIP-10.19.67.36: 443,ACTIVESELFIP,10.19.67.45
F5VIP-10.19.67.36: 443,STANDBYSELFIP,10.19.67.46
F5VIP-10.19.67.52: 6000,FLOATINGSELFIP,10.19.67.60
F5VIP-10.19.67.52: 6000,CMDBPORT,6000
F5VIP-10.19.67.52: 6000,ACTIVESELFIP,10.19.67.62
F5VIP-10.19.67.52: 6000,STANDBYSELFIP,10.19.67.61
F5VIP-10.19.67.84: 443,FLOATINGSELFIP,10.19.67.92
F5VIP-10.19.67.84: 443,CMDBPORT,443
F5VIP-10.19.67.84: 443,ACTIVESELFIP,10.19.67.94
F5VIP-10.19.67.84: 443,STANDBYSELFIP,10.19.67.93
F5VIP-10.19.67.84: 6000,FLOATINGSELFIP,10.19.67.92
F5VIP-10.19.67.84: 6000,CMDBPORT,6000
F5VIP-10.19.67.84: 6000,ACTIVESELFIP,10.19.67.94
F5VIP-10.19.67.84: 6000,STANDBYSELFIP,10.19.67.93
F5VIP-10.19.71.36: 19005,FLOATINGSELFIP,10.19.71.39
F5VIP-10.19.71.36: 19005,CMDBPORT,19005
F5VIP-10.19.71.36: 19005,ACTIVESELFIP,10.19.71.37
F5VIP-10.19.71.36: 19005,STANDBYSELFIP,10.19.71.38
F5VIP-10.19.72.7: 443,FLOATINGSELFIP,10.19.72.6
F5VIP-10.19.72.7: 443,CMDBPORT,443
F5VIP-10.19.72.7: 443,ACTIVESELFIP,10.19.72.4
F5VIP-10.19.72.7: 443,STANDBYSELFIP,10.19.72.5
F5VIP-10.19.86.228: 443,FLOATINGSELFIP,10.19.86.236
F5VIP-10.19.86.228: 443,CMDBPORT,443
F5VIP-10.19.86.228: 443,ACTIVESELFIP,10.19.86.237
F5VIP-10.19.86.228: 443,STANDBYSELFIP,10.19.86.238
F5VIP-10.19.86.228: 6000,FLOATINGSELFIP,10.19.86.236
F5VIP-10.19.86.228: 6000,CMDBPORT,6000
F5VIP-10.19.86.228: 6000,ACTIVESELFIP,10.19.86.237
F5VIP-10.19.86.228: 6000,STANDBYSELFIP,10.19.86.238
F5VIP-10.19.86.228: 8008,FLOATINGSELFIP,10.19.86.236
F5VIP-10.19.86.228: 8008,CMDBPORT,8008
F5VIP-10.19.86.228: 8008,ACTIVESELFIP,10.19.86.237
F5VIP-10.19.86.228: 8008,STANDBYSELFIP,10.19.86.238
F5VIP-10.19.86.244: 443,FLOATINGSELFIP,10.19.86.252
F5VIP-10.19.86.244: 443,CMDBPORT,443
F5VIP-10.19.86.244: 443,ACTIVESELFIP,10.19.86.253
F5VIP-10.19.86.244: 443,STANDBYSELFIP,10.19.86.254
F5VIP-10.19.86.244: 6000,FLOATINGSELFIP,10.19.86.252
F5VIP-10.19.86.244: 6000,CMDBPORT,6000
F5VIP-10.19.86.244: 6000,ACTIVESELFIP,10.19.86.253
F5VIP-10.19.86.244: 6000,STANDBYSELFIP,10.19.86.254
F5VIP-10.19.87.8: 443,FLOATINGSELFIP,10.19.87.9
F5VIP-10.19.87.8: 443,CMDBPORT,443
F5VIP-10.19.87.8: 443,ACTIVESELFIP,10.19.87.4
F5VIP-10.19.87.8: 443,STANDBYSELFIP,10.19.87.3
F5VIP-10.19.87.8: 80,FLOATINGSELFIP,10.19.87.9
F5VIP-10.19.87.8: 80,CMDBPORT,80
F5VIP-10.19.87.8: 80,ACTIVESELFIP,10.19.87.4
F5VIP-10.19.87.8: 80,STANDBYSELFIP,10.19.87.3
F5VIP-10.19.89.139: 443,FLOATINGSELFIP,10.19.89.138
F5VIP-10.19.89.139: 443,CMDBPORT,443
F5VIP-10.19.89.139: 443,ACTIVESELFIP,10.19.89.137
F5VIP-10.19.89.139: 443,STANDBYSELFIP,10.19.89.136
F5VIP-10.190.1.100: 443,FLOATINGSELFIP,10.190.0.162
F5VIP-10.190.1.100: 443,CMDBPORT,443
F5VIP-10.190.1.100: 443,ACTIVESELFIP,10.190.0.161
F5VIP-10.190.1.100: 443,STANDBYSELFIP,10.190.0.160
F5VIP-10.190.10.7: 443,FLOATINGSELFIP,10.190.10.6
F5VIP-10.190.10.7: 443,CMDBPORT,443
F5VIP-10.190.10.7: 443,ACTIVESELFIP,10.190.10.4
F5VIP-10.190.10.7: 443,STANDBYSELFIP,10.190.10.5
F5VIP-10.190.130.118: 443,FLOATINGSELFIP,10.190.130.126
F5VIP-10.190.130.118: 443,CMDBPORT,443
F5VIP-10.190.130.118: 443,ACTIVESELFIP,10.190.130.124
F5VIP-10.190.130.118: 443,STANDBYSELFIP,10.190.130.124
F5VIP-10.190.4.199: 3443,FLOATINGSELFIP,10.190.4.202
F5VIP-10.190.4.199: 3443,CMDBPORT,3443
F5VIP-10.190.4.199: 3443,ACTIVESELFIP,10.190.4.200
F5VIP-10.190.4.199: 3443,STANDBYSELFIP,10.190.4.201
F5VIP-10.190.4.199: 443,FLOATINGSELFIP,10.190.4.202
F5VIP-10.190.4.199: 443,CMDBPORT,443
F5VIP-10.190.4.199: 443,ACTIVESELFIP,10.190.4.200
F5VIP-10.190.4.199: 443,STANDBYSELFIP,10.190.4.201
F5VIP-10.190.4.199: 4443,FLOATINGSELFIP,10.190.4.202
F5VIP-10.190.4.199: 4443,CMDBPORT,4443
F5VIP-10.190.4.199: 4443,ACTIVESELFIP,10.190.4.200
F5VIP-10.190.4.199: 4443,STANDBYSELFIP,10.190.4.201
F5VIP-10.190.4.199: 8443,FLOATINGSELFIP,10.190.4.202
F5VIP-10.190.4.199: 8443,CMDBPORT,8443
F5VIP-10.190.4.199: 8443,ACTIVESELFIP,10.190.4.200
F5VIP-10.190.4.199: 8443,STANDBYSELFIP,10.190.4.201
F5VIP-10.190.5.102: 443,FLOATINGSELFIP,10.190.5.119
F5VIP-10.190.5.102: 443,CMDBPORT,443
F5VIP-10.190.5.102: 443,ACTIVESELFIP,10.190.5.117
F5VIP-10.190.5.102: 443,STANDBYSELFIP,10.190.5.118
F5VIP-10.190.5.102: 8080,FLOATINGSELFIP,10.190.5.119
F5VIP-10.190.5.102: 8080,CMDBPORT,8080
F5VIP-10.190.5.102: 8080,ACTIVESELFIP,10.190.5.117
F5VIP-10.190.5.102: 8080,STANDBYSELFIP,10.190.5.118
F5VIP-10.190.5.116: 443,FLOATINGSELFIP,10.190.5.119
F5VIP-10.190.5.116: 443,CMDBPORT,443
F5VIP-10.190.5.116: 443,ACTIVESELFIP,10.190.5.117
F5VIP-10.190.5.116: 443,STANDBYSELFIP,10.190.5.118
F5VIP-10.190.5.116: 80,FLOATINGSELFIP,10.190.5.119
F5VIP-10.190.5.116: 80,CMDBPORT,80
F5VIP-10.190.5.116: 80,ACTIVESELFIP,10.190.5.117
F5VIP-10.190.5.116: 80,STANDBYSELFIP,10.190.5.118
F5VIP-10.190.5.135: 10062,FLOATINGSELFIP,10.190.5.138
F5VIP-10.190.5.135: 10062,CMDBPORT,10062
F5VIP-10.190.5.135: 10062,ACTIVESELFIP,10.190.5.137
F5VIP-10.190.5.135: 10062,STANDBYSELFIP,10.190.5.136
F5VIP-10.190.5.135: 10520,FLOATINGSELFIP,10.190.5.138
F5VIP-10.190.5.135: 10520,CMDBPORT,10520
F5VIP-10.190.5.135: 10520,ACTIVESELFIP,10.190.5.137
F5VIP-10.190.5.135: 10520,STANDBYSELFIP,10.190.5.136
F5VIP-10.190.5.135: 10521,FLOATINGSELFIP,10.190.5.138
F5VIP-10.190.5.135: 10521,CMDBPORT,10521
