CINUM,SOURCECI,RELATIONNUM,TARGETCI,
WAFVIP-10.190.250.226,WAFVIP-10.190.250.226,PROTECTS,SERVER-10.19.32.226,
WAFVIP-10.190.250.124,WAFVIP-10.190.250.124,PROTECTS,SERVER-10.19.89.115,
WAFVIP-10.190.250.75,WAFVIP-10.190.250.75,PROTECTS,SERVER-10.19.139.21,
WAFVIP-10.190.250.74,WAFVIP-10.190.250.74,PROTECTS,SERVER-10.19.139.25,
WAFVIP-10.190.250.120,WAFVIP-10.190.250.120,PROTECTS,SERVER-10.19.32.167,
WAFVIP-10.190.250.122,WAFVIP-10.190.250.122,PROTECTS,SERVER-10.19.32.167,
WAFVIP-10.190.250.46,WAFVIP-10.190.250.46,PROTECTS,SERVER-10.19.44.103,
WAFVIP-10.190.250.97,WAFVIP-10.190.250.97,PROTECTS,SERVER-10.20.126.58,
WAFVIP-10.190.250.95,WAFVIP-10.190.250.95,PROTECTS,SERVER-10.20.127.51,
WAFVIP-10.190.250.55,WAFVIP-10.190.250.55,PROTECTS,SERVER-10.19.46.82,
WAFVIP-10.190.250.7,WAFVIP-10.190.250.7,PROTECTS,SERVER-10.19.28.115,
WAFVIP-10.190.250.84,WAFVIP-10.190.250.84,PROTECTS,SERVER-10.190.6.39,
WAFVIP-10.190.250.114,WAFVIP-10.190.250.114,PROTECTS,SERVER-10.19.186.20,
WAFVIP-10.190.250.30,WAFVIP-10.190.250.30,PROTECTS,SERVER-10.20.129.20,
WAFVIP-10.190.250.68,WAFVIP-10.190.250.68,PROTECTS,SERVER-10.19.36.116,
WAFVIP-10.190.250.78,WAFVIP-10.190.250.78,PROTECTS,SERVER-10.19.191.210,
WAFVIP-10.190.250.94,WAFVIP-10.190.250.94,PROTECTS,SERVER-10.19.29.102,
WAFVIP-10.190.250.200,WAFVIP-10.190.250.200,PROTECTS,SERVER-10.19.253.70,
WAFVIP-10.190.250.109,WAFVIP-10.190.250.109,PROTECTS,SERVER-10.19.172.36,
WAFVIP-10.190.250.26,WAFVIP-10.190.250.26,PROTECTS,SERVER-10.19.32.100,
WAFVIP-10.190.250.35,WAFVIP-10.190.250.35,PROTECTS,SERVER-10.19.30.138,
WAFVIP-10.190.250.212,WAFVIP-10.190.250.212,PROTECTS,SERVER-10.19.32.100,
WAFVIP-10.190.250.85,WAFVIP-10.190.250.85,PROTECTS,SERVER-10.190.6.39,
